Molecule Name,Class,Subclass,Species,Molecular Formula,Molecular Weight,IUPAC Name,SMILES,PubChem CID,λmax (nm),Exact Mass,MS Fragments,Concentration Value,Concentration Unit,Plant Part,Origin,Season
"5-formyl-2,3-dihydroisocoumarin",Coumarins (C6-C3),Flavonoid-derived products,,C10H8O3,176.17,"1-oxo-3,4-dihydroisochromene-5-carbaldehyde",C1COC(=O)C2=CC=CC(=C21)C=O,191120.0,,,"176 (100), 148 (56), 147 (40), 131 (20), 120 (70), 119 (74), 118 (69), 105 (24), 91 (55), 90 (57), 89 (56), 77 (21), 65 (25), 63 (43)",,,,,
Phenylcoumaran hexoside,Coumarins (C6-C3),Flavonoid-derived products,,,,,,,"276, 310",,"MS2: 357 (44), 339 (100) ,327 (45)",,,,,
p-Coumaroyl hexoside,Coumarins (C6-C3),Flavonoid-derived products,,,,,,,310,,163(100),,,,,
Apigenin-O-deoxyhexosyl-glucuronide,Flavonoides,Flavones,Silybum marianum (L.),,,,,,336,,269(100),0.10,mg/g,whole plant,herbalist shop in Bragança (Portugal),
Apigenin-O-deoxyhexosyl-glucuronide,Flavonoides,Flavones,Silybum marianum (L.),,,,,,336,,269(100),0.36,mg/g,whole plant,herbalist shop in Bragança (Portugal),
(+)-Catechin,Flavonoids,Flavan-3-ols,Castanea sativa Mill.,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",1.10 mg/ g of lyophilized infusion (b),,Flower,"Oleiros, Bragança (north-eastern Portugal)",June 2013
(+)-Catechin,Flavonoids,Flavan-3-ols,Castanea sativa Mill.,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",1.11 mg/ g of lyophilized infusion (a),,Flower,"Oleiros, Bragança (north-eastern Portugal)",June 2013
(+)-Catechin,Flavonoids,Flavan-3-ols,Castanea sativa Mill.,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",1.14 mg/ g of lyophilized decoction (a),,Flower,"Oleiros, Bragança (north-eastern Portugal)",June 2013
(+)-Catechin,Flavonoids,Flavan-3-ols,Castanea sativa Mill.,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",1.58 mg/ g of lyophilized decoction (b),,Flower,"Oleiros, Bragança (north-eastern Portugal)",June 2013
(+)-Catechin,Flavonoids,Flavan-3-ols,Castanea Sativa 2,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",379.94,µg/g,Flowers and inflorescences,"Natural Park of Montesinho territory (Trás-os-Montes, North-eastern Portugal)","2009 - Castanea sativa, the upright catkins during anthesis (flower fully opened and functional) in late summer"
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. roots,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",2.1,mg/g,roots,a) commercial; b) wild,July 2013
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. roots,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",2.38,mg/g,roots,a) commercial; b) wild,July 2013
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. roots,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",3.31,mg/g,roots,a) commercial; b) wild,July 2013
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. roots,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",39.26,mg/g,roots,a) commercial; b) wild,July 2013
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. roots,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",56.95,mg/g,roots,a) commercial; b) wild,July 2013
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. roots,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",65.07,mg/g,roots,a) commercial; b) wild,July 2013
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. veget. parts,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",1.80,mg/g,vegetative parts,a) commercial; b) wild,
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. veget. parts,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",11.76,mg/g,vegetative parts,a) commercial; b) wild,
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. veget. parts,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",15.39,mg/g,vegetative parts,a) commercial; b) wild,
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. veget. parts,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",2.01,mg/g,vegetative parts,a) commercial; b) wild,
(+)-Catechin,Flavonoids,Flavan-3-ols,Fragaria vesca L. veget. parts,C15H14O6,290.27,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,9064.0,278,,"245(91),203(60),137(38)",2.21,mg/g,vegetative parts,a) commercial; b) wild,
